📡广东频道👉全网,#genre#
广东卫视,http://192.168.3.2:8888/rtp/239.77.0.2:5146
广东珠江,http://192.168.3.2:8888/rtp/239.77.0.3:5146
广东新闻,http://192.168.3.2:8888/rtp/239.77.0.4:5146
广东公共,http://192.168.3.2:8888/rtp/239.77.0.5:5146
广东体育,http://192.168.3.2:8888/rtp/239.77.0.6:5146
经济科教,http://192.168.3.2:8888/rtp/239.77.0.8:5146
南方卫视,http://192.168.3.2:8888/rtp/239.77.0.9:5146
广东影视,http://192.168.3.2:8888/rtp/239.77.0.11:5146
广东少儿,http://192.168.3.2:8888/rtp/239.77.0.12:5146
嘉佳卡通,http://192.168.3.2:8888/rtp/239.77.0.13:5146
广东移动,http://192.168.3.2:8888/rtp/239.77.0.20:5146
广州综合,http://192.168.3.2:8888/rtp/239.253.43.66:5146
广州新闻,http://192.168.3.2:8888/rtp/239.253.43.67:5146
广州影视,http://192.168.3.2:8888/rtp/239.253.43.68:5146
广州法治,http://192.168.3.2:8888/rtp/239.253.43.69:5146
广州竞赛,http://192.168.3.2:8888/rtp/239.253.43.70:5146
南方购物,http://192.168.3.2:8888/rtp/239.77.0.22:5146
岭南戏曲,http://192.168.3.2:8888/rtp/239.77.0.16:5146
广东房产,http://192.168.3.2:8888/rtp/239.77.0.14:5146
现代教育,http://192.168.3.2:8888/rtp/239.77.0.18:5146
🇨🇳央视频道👉天下,#genre#
CCTV-1综合,http://192.168.3.2:8888/rtp/239.77.0.30:5146
CCTV-2财经,http://192.168.3.2:8888/rtp/239.77.0.31:5146
CCTV-3综艺,http://192.168.3.2:8888/rtp/239.0.10.52:5052
CCTV-4中文国际,http://192.168.3.2:8888/rtp/239.77.0.33:5146
CCTV-5体育,http://192.168.3.2:8888/rtp/239.0.10.53:5053
CCTV-6电影,http://192.168.3.2:8888/rtp/239.0.10.54:5054
CCTV-7国防军事,http://192.168.3.2:8888/rtp/239.77.0.36:5146
CCTV-8电视剧,http://192.168.3.2:8888/rtp/239.0.10.55:5055
CCTV-9纪录,http://192.168.3.2:8888/rtp/239.77.0.38:5146
CCTV-10科教,http://192.168.3.2:8888/rtp/239.77.0.39:5146
CCTV-11戏曲,http://192.168.3.2:8888/rtp/239.77.0.40:5146
CCTV-12社会与法,http://192.168.3.2:8888/rtp/239.77.0.41:5146
CCTV-13新闻,http://192.168.3.2:8888/rtp/239.77.0.42:5146
CCTV-14少儿,http://192.168.3.2:8888/rtp/239.77.0.43:5146
CCTV-15音乐,http://192.168.3.2:8888/rtp/239.77.0.44:5146
📡卫视频道👉,#genre#
CGTN,http://192.168.3.2:8888/rtp/239.77.0.45:5146
湖南卫视,http://192.168.3.2:8888/rtp/239.77.0.46:5146
浙江卫视,http://192.168.3.2:8888/rtp/239.77.0.47:5146
江苏卫视,http://192.168.3.2:8888/rtp/239.77.0.48:5146
东方卫视,http://192.168.3.2:8888/rtp/239.77.0.49:5146
安徽卫视,http://192.168.3.2:8888/rtp/239.77.0.50:5146
北京卫视,http://192.168.3.2:8888/rtp/239.77.0.51:5146
天津卫视,http://192.168.3.2:8888/rtp/239.77.0.52:5146
山东卫视,http://192.168.3.2:8888/rtp/239.77.0.53:5146
江西卫视,http://192.168.3.2:8888/rtp/239.77.0.54:5146
深圳卫视,http://192.168.3.2:8888/rtp/239.77.0.55:5146
