全网通用,#genre#
凤凰资讯,http://114.132.99.29:8883/代理文件.php?vd=uu2&id=fhzx
凤凰中文,http://114.132.99.29:8883/代理文件.php?vd=uu2&id=fhzw
凤凰香港,http://114.132.99.29:8883/代理文件.php?vd=uu2&id=fhhk
CCTV-1,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?&encrypt=  
CCTV-1,http://ttww.doudouzi888.com:1998/iptv/dl/bestv.php?id=cctv1
CCTV-1,http://114.132.99.29:8812/JRST.php?id=科技频道3eV2U8WLDTkyD5y
CCTV-1,http://114.132.99.29:8812/JRST.php?id=科技频道7YbzXVOjvLOZwnX
CCTV-2,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?&encrypt=
CCTV-2,http://ttww.doudouzi888.com:1998/iptv/dl/bestv.php?id=cctv2
CCTV-2,http://114.132.99.29:8812/JRST.php?id=科技频道PI348B4RzufRMiK
CCTV-2,http://114.132.99.29:8812/JRST.php?id=科技频道1Vtxi0owmxaKOII
CCTV-3,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?&encrypt=
CCTV-3,http://ttww.doudouzi888.com:1998/iptv/dl/bestv.php?id=cctv3
CCTV-3,http://114.132.99.29:8812/JRST.php?id=科技频道kUbxgBZx2pYP20I
CCTV-3,http://114.132.99.29:8812/JRST.php?id=科技频道XGEbNr2OCdiZKLt
CCTV-4,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?&encrypt=
CCTV-4,http://ttww.doudouzi888.com:1998/iptv/dl/bestv.php?id=cctv4
CCTV-4,http://114.132.99.29:8812/JRST.php?id=科技频道mcUmfMRjMcXMRLi
CCTV-4,http://114.132.99.29:8812/JRST.php?id=科技频道XGPkrrkzTMGIHqr
CCTV-5,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?&encrypt=
CCTV-5,http://ttww.doudouzi888.com:1998/iptv/dl/bestv.php?id=cctv5
CCTV-5,http://114.132.99.29:8812/JRST.php?id=科技频道8YgKwl4tZyc0kP4
CCTV-5,http://114.132.99.29:8812/JRST.php?id=科技频道bkVht1x1oFyuWJB
CCTV-6,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/cctv6hd/3000/index.m3u8?&encrypt=
