CCTV-1高清,rtp://239.112.205.59:5140
CCTV-2高清,rtp://239.112.205.78:5140
CCTV-3高清,rtp://239.112.205.221:5140
CCTV-4高清,rtp://239.112.205.202:5140
CCTV-5高清,rtp://239.112.205.222:5140
CCTV-6高清,rtp://239.112.205.223:5140
CCTV-7高清,rtp://239.112.205.83:5140
CCTV-8高清,rtp://239.112.205.224:5140
CCTV-9高清,rtp://239.112.205.85:5140
CCTV-10高清,rtp://239.112.205.86:5140
CCTV-11高清,rtp://239.112.205.213:5140
CCTV-12高清,rtp://239.112.205.88:5140
CCTV-13高清,rtp://239.111.205.53:5140
CCTV-14高清,rtp://239.112.205.91:5140
CCTV-15高清,rtp://239.112.205.214:5140
CCTV-16高清测试,rtp://239.111.205.133:5140
CCTV-17高清,rtp://239.112.205.211:5140
CCTV4K超高清,rtp://239.111.205.38:5140
聚鲨环球精选,rtp://239.112.205.158:5140
优购物,rtp://239.112.205.209:5140
央广购物,rtp://239.112.205.208:5140
快乐购,rtp://239.111.205.37:5140
陕西卫视高清,rtp://239.111.205.35:5140
陕西1套高清,rtp://239.111.205.28:5140
陕西2套高清,rtp://239.111.205.42:5140
陕西3套高清,rtp://239.111.205.98:5140
陕西4套高清,rtp://239.111.205.99:5140
陕西5套高清,rtp://239.111.205.100:5140
乐家购物高清,rtp://239.111.205.101:5140
陕西7套高清,rtp://239.111.205.36:5140
陕西8套高清,rtp://239.111.205.102:5140
农林卫视,rtp://239.112.205.27:5140
家有购物,rtp://239.112.205.155:5140
中视购物,rtp://239.111.205.96:5140
西安乐购高清,rtp://239.111.205.30:5140
西安教育台,rtp://239.112.205.142:5140
西安1套,rtp://239.111.205.242:5140
西安2套,rtp://239.111.205.243:5140
西安3套,rtp://239.112.205.174:5140
西安4套,rtp://239.112.205.175:5140
丝路频道,rtp://239.112.205.176:5140
凤凰中文,rtp://239.111.205.78:5140
高清测试2,rtp://239.111.205.82:5140
东方卫视高清,rtp://239.112.205.61:5140
湖南卫视高清,rtp://239.112.205.62:5140
江苏卫视高清,rtp://239.112.205.63:5140
浙江卫视高清,rtp://239.112.205.64:5140
北京卫视高清,rtp://239.112.205.65:5140
广东卫视高清,rtp://239.112.205.66:5140
深圳卫视高清,rtp://239.112.205.67:5140
黑龙江卫视高清,rtp://239.112.205.68:5140
湖北卫视高清,rtp://239.112.205.69:5140
山东卫视高清,rtp://239.112.205.70:5140
四川卫视高清,rtp://239.112.205.184:5140
安徽卫视高清,rtp://239.112.205.72:5140
重庆卫视高清,rtp://239.112.205.179:5140
天津卫视高清,rtp://239.112.205.74:5140
东南卫视高清,rtp://239.112.205.182:5140
河南卫视高清,rtp://239.112.205.180:5140
江西卫视高清,rtp://239.111.205.16:5140
吉林卫视高清,rtp://239.112.205.183:5140
山西卫视,rtp://239.112.205.46:5140
贵州卫视高清,rtp://239.112.205.178:5140
甘肃卫视高清,rtp://239.111.205.88:5140
宁夏卫视,rtp://239.112.205.49:5140
海南卫视,rtp://239.112.205.50:5140
广西卫视,rtp://239.112.205.51:5140
辽宁卫视高清,rtp://239.112.205.73:5140
青海卫视,rtp://239.112.205.53:5140
西藏卫视,rtp://239.112.205.54:5140
内蒙古卫视,rtp://239.112.205.55:5140
新疆卫视,rtp://239.112.205.56:5140
河北卫视高清,rtp://239.112.205.200:5140
云南卫视,rtp://239.112.205.58:5140
厦门卫视,rtp://239.112.205.60:5140
兵团卫视,rtp://239.112.205.198:5140
三沙卫视,rtp://239.111.205.52:5140
上海纪实高清,rtp://239.112.205.204:5140
金鹰纪实高清,rtp://239.112.205.203:5140
CCTV-1,rtp://239.111.205.9:5140
CCTV-2,rtp://239.112.205.2:5140
CCTV-3,rtp://239.112.205.225:5140
CCTV-4,rtp://239.112.205.4:5140
CCTV-5,rtp://239.112.205.226:5140
CCTV-6,rtp://239.112.205.227:5140
CCTV-7,rtp://239.112.205.7:5140
CCTV-8,rtp://239.112.205.228:5140
CCTV-9,rtp://239.112.205.9:5140
CCTV-10,rtp://239.112.205.10:5140
CCTV-11,rtp://239.112.205.11:5140
CCTV-12,rtp://239.112.205.12:5140
CCTV-新闻,rtp://239.112.205.13:5140
CCTV-少儿,rtp://239.112.205.15:5140
CCTV-音乐,rtp://239.112.205.16:5140
CGTN,rtp://239.112.205.14:5140
CCTV-17,rtp://239.112.205.210:5140
CCTV5＋高清,rtp://239.111.205.13:5140
CGTN高清,rtp://239.111.205.32:5140
CGTN 西班牙语高清,rtp://239.111.205.33:5140
CGTN 法语高清,rtp://239.111.205.34:5140
CCTV4中文国际欧洲高清,rtp://239.111.205.83:5140
CCTV4中文国际美洲高清,rtp://239.111.205.84:5140
CGTN英文纪录高清,rtp://239.111.205.85:5140
CGTN阿拉伯语高清,rtp://239.111.205.86:5140
CGTN俄语高清,rtp://239.111.205.87:5140
陕西卫视,rtp://239.112.205.17:5140
陕西1套,rtp://239.112.205.18:5140
陕西2套,rtp://239.112.205.19:5140
陕西3套,rtp://239.112.205.20:5140
陕西4套,rtp://239.112.205.21:5140
陕西5套,rtp://239.112.205.22:5140
乐家购物,rtp://239.112.205.23:5140
陕西7套,rtp://239.112.205.24:5140
陕西8套,rtp://239.111.205.41:5140
CCTV-16 4K 超高清测试,rtp://239.111.205.134:5140
东方卫视,rtp://239.112.205.28:5140
湖南卫视,rtp://239.112.205.29:5140
江苏卫视,rtp://239.112.205.30:5140
浙江卫视,rtp://239.112.205.31:5140
北京卫视,rtp://239.112.205.32:5140
广东卫视,rtp://239.112.205.33:5140
深圳卫视,rtp://239.112.205.34:5140
黑龙江卫视,rtp://239.112.205.35:5140
湖北卫视,rtp://239.112.205.36:5140
山东卫视,rtp://239.112.205.37:5140
四川卫视,rtp://239.112.205.38:5140
安徽卫视,rtp://239.112.205.39:5140
重庆卫视,rtp://239.112.205.40:5140
天津卫视,rtp://239.112.205.41:5140
东南卫视,rtp://239.112.205.42:5140
