CCTV-1,udp://239.254.200.45:8008
CCTV-2,udp://239.254.200.158:6000
CCTV-3,udp://239.254.200.13:6000
CCTV-4,udp://239.254.200.190:6307
CCTV-5,udp://239.254.200.14:6000
CCTV-6,udp://239.254.200.15:6000
CCTV-7,udp://239.254.200.159:6000
CCTV-8,udp://239.254.200.16:6000
CCTV-9,udp://239.254.200.59:8112
CCTV-10,udp://239.254.200.160:6000
CCTV-11,udp://239.254.201.123:8120
CCTV-12,udp://239.254.200.161:6000
CCTV-13,udp://239.254.200.9:8264
CCTV-14,udp://239.254.200.162:6000
CCTV-15,udp://239.254.201.124:8136
CCTV-17,udp://239.254.201.120:8144
CCTV-5+高清,udp://239.254.200.46:8004
CGTN,udp://239.254.200.12:8056
CCTV-3高清,udp://239.254.201.152:7205
CCTV-5高清,udp://239.254.201.153:7206
CCTV-6高清,udp://239.254.201.154:7207
CCTV-8高清,udp://239.254.201.155:7208
河北卫视,udp://239.254.200.174:6000
河北经济生活,udp://239.254.200.18:6000
河北都市,udp://239.254.200.19:6000
河北影视剧,udp://239.254.200.20:6000
河北少儿科教,udp://239.254.200.21:6000
河北公共,udp://239.254.200.22:6000
河北农民,udp://239.254.200.23:6000
湖南卫视,udp://239.254.200.48:8012
浙江卫视,udp://239.254.200.53:8036
江苏卫视,udp://239.254.200.51:8028
安徽卫视,udp://239.254.200.163:6000
东南卫视,udp://239.254.201.13:6291
北京卫视,udp://239.254.200.47:8024
天津卫视,udp://239.254.200.54:1234
辽宁卫视,udp://239.254.200.57:8056
山东卫视,udp://239.254.200.55:8052
云南卫视,udp://239.254.200.68:8108
东方卫视,udp://239.254.200.52:8032
重庆卫视,udp://239.254.200.203:6323
山西卫视,udp://239.254.200.83:8172
广东卫视,udp://239.254.200.56:8048
广西卫视,udp://239.254.200.80:8300
吉林卫视,udp://239.254.201.15:6339
陕西卫视,udp://239.254.200.82:8140
内蒙古卫视,udp://239.254.200.84:8176
青海卫视,udp://239.254.200.85:8184
海南卫视,udp://239.254.201.125:6288
宁夏卫视,udp://239.254.200.87:8124
河南卫视,udp://239.254.201.16:7174
