山东教育卫视new  ,238.255.2.79:5999
CGTN DOCUMENTARY（纪实） ,238.255.2.172:5999
CETV早期教育  ,238.255.2.38:5999
湖南卫视（高清） ,238.255.2.93:5999
安徽卫视（高清） ,238.255.2.101:5999
山东卫视（高清） ,238.255.2.97:5999
江西卫视（高清） ,238.255.2.94:5999
西藏卫视  ,238.255.2.65:5999
嘉佳卡通  ,238.255.2.62:5999
贵阳2 经济生活频道  ,238.255.2.20:5999
贵阳4 都市频道  ,238.255.2.22:5999
贵阳5 旅游生活频道  ,238.255.2.23:5999
CGTN  ,238.255.2.178:5999
音像世界  ,238.255.2.148:5999
动画乐园  ,238.255.2.122:5999
海外佳片  ,238.255.2.123:5999
CCTV怀旧剧场  ,238.255.2.33:5999
CCTV兵器科技  ,238.255.2.34:5999
中央新影  新科动漫  ,238.255.2.36:5999
中央新影  老故事  ,238.255.2.35:5999
剧场频道  ,238.255.2.140:5999
遵义综合  ,238.255.2.153:5999
都市剧场  ,238.255.2.120:5999
黔西南公共  ,238.255.2.127:5999
华语影院  ,238.255.2.124:5999
CCTV5 体育（高清） ,238.255.2.134:5999
体育赛事new  ,238.255.2.177:5999
天津卫视（高清） ,238.255.2.99:5999
经典剧场  ,238.255.2.129:5999
遵义都市  ,238.255.2.154:5999
遵义公共  ,238.255.2.152:5999
黔西南综合  ,238.255.2.126:5999
东方卫视（高清） ,238.255.2.98:5999
CCTV12 社会与法  ,238.255.2.15:5999
CCTV13 新闻  ,238.255.2.16:5999
吉林卫视（高清） ,238.255.2.95:5999
铜仁1  ,238.255.2.31:5999
安顺2 公共频道  ,238.255.2.158:5999
铜仁2  ,238.255.2.87:5999
雷山综合（高清） ,238.255.2.128:5999
CCTV风云音乐  ,238.255.2.24:5999
CCTV第一剧场  ,238.255.2.25:5999
CCTV世界地理  ,238.255.2.26:5999
CCTV女性时尚  ,238.255.2.27:5999
毕节1（高清）  ,238.255.2.131:5999
河南卫视（高清） ,238.255.2.74:5999
CCTV2 财*  ,238.255.2.11:5999
CCTV1 综合（高清） ,238.255.2.91:5999
CCTV3 综艺（高清） ,238.255.2.133:5999
CCTV6 电影（高清） ,238.255.2.135:5999
谍战剧场  ,238.255.2.121:5999
CCTV4 中文国际（高清） ,238.255.2.92:5999
CCTV7 国防军事  ,238.255.2.12:5999
CCTV9 纪录  ,238.255.2.155:5999
新艺频道  ,238.255.2.142:5999
毕节2（高清） ,238.255.2.132:5999
广东卫视（高清） ,238.255.2.59:5999
安顺1 新闻频道  ,238.255.2.157:5999
雅趣频道  ,238.255.2.143:5999
CCTV8 电视剧（高清）  ,238.255.2.136:5999
CCTV11 戏曲  ,238.255.2.14:5999
新知频道  ,238.255.2.141:5999
家有精选  ,238.255.2.149:5999
映画频道  ,238.255.2.139:5999
贵州4 大众生活频道  ,238.255.2.4:5999
贵州2 公共频道  ,238.255.2.2:5999
贵州5 法制频道  ,238.255.2.5:5999
CCTV风云剧场  ,238.255.2.28:5999
湖北卫视（高清） ,238.255.2.102:5999
东南卫视（高清） ,238.255.2.103:5999
怡家频道  ,238.255.2.144:5999
英伦频道  ,238.255.2.145:5999
CCTV央视文化精品  ,238.255.2.32:5999
家有购物（高清） ,238.255.2.10:5999
龙江卫视（高清） ,238.255.2.96:5999
四川卫视（高清） ,238.255.2.76:5999
